"Departamento","Dep","Municipio","Depmun","Superficie","Poblacion","Irural","Region"
"ANTIOQUIA",5,"MEDELLÍN",5001,"  375",2483545,5,"Región Eje Cafetero "
"ANTIOQUIA",5,"ABEJORRAL",5002,"  507",20258,45,"Región Eje Cafetero "
"ANTIOQUIA",5,"ABRIAQUÍ",5004,"  297",2710,58,"Región Eje Cafetero "
"ANTIOQUIA",5,"ALEJANDRÍA",5021,"  129",4669,48,"Región Eje Cafetero "
"ANTIOQUIA",5,"AMAGÁ",5030,"   84",30777,28,"Región Eje Cafetero "
"ANTIOQUIA",5,"AMALFI",5031," 1209",26552,54,"Región Eje Cafetero "
"ANTIOQUIA",5,"ANDES",5034,"  403",43713,38,"Región Eje Cafetero "
"ANTIOQUIA",5,"ANGELÓPOLIS",5036,"   82",5790,37,"Región Eje Cafetero "
"ANTIOQUIA",5,"ANGOSTURA",5038,"  339",11462,47,"Región Eje Cafetero "
"ANTIOQUIA",5,"ANORÍ",5040," 1414",18737,58,"Región Eje Cafetero "
"ANTIOQUIA",5,"SANTAFÉ DE ANTIOQUIA",5042,"  526",26598,45,"Región Eje Cafetero "
"ANTIOQUIA",5,"ANZA",5044,"  256",7085,48,"Región Eje Cafetero "
"ANTIOQUIA",5,"APARTADÓ",5045,"  535",124647,34,"Región Eje Cafetero "
"ANTIOQUIA",5,"ARBOLETES",5051,"  754",29942,48,"Región Eje Cafetero "
"ANTIOQUIA",5,"ARGELIA",5055,"  245",7577,46,"Región Eje Cafetero "
"ANTIOQUIA",5,"ARMENIA",5059,"  110",5085,43,"Región Eje Cafetero "
"ANTIOQUIA",5,"BARBOSA",5079,"  206",53242,32,"Región Eje Cafetero "
"ANTIOQUIA",5,"BELMIRA",5086,"  296",6054,51,"Región Eje Cafetero "
"ANTIOQUIA",5,"BELLO",5088,"  148",538527,12,"Región Eje Cafetero "
"ANTIOQUIA",5,"BETANIA",5091,"  181",10274,42,"Región Eje Cafetero "
"ANTIOQUIA",5,"BETULIA",5093,"  262",15736,42,"Región Eje Cafetero "
"ANTIOQUIA",5,"CIUDAD BOLÍVAR",5101,"  260",26160,38,"Región Eje Cafetero "
"ANTIOQUIA",5,"BRICEÑO",5107,"  376",8065,52,"Región Eje Cafetero "
"ANTIOQUIA",5,"BURITICÁ",5113,"  355",9502,52,"Región Eje Cafetero "
"ANTIOQUIA",5,"CÁCERES",5120," 1874",29716,56,"Región Eje Cafetero "
"ANTIOQUIA",5,"CAICEDO",5125,"  200",8420,46,"Región Eje Cafetero "
"ANTIOQUIA",5,"CALDAS",5129,"  133",81658,24,"Región Eje Cafetero "
"ANTIOQUIA",5,"CAMPAMENTO",5134,"  206",9202,46,"Región Eje Cafetero "
"ANTIOQUIA",5,"CAÑASGORDAS",5138,"  365",15490,46,"Región Eje Cafetero "
"ANTIOQUIA",5,"CARACOLÍ",5142,"  263",4537,53,"Región Eje Cafetero "
"ANTIOQUIA",5,"CARAMANTA",5145,"   92",4670,42,"Región Eje Cafetero "
"ANTIOQUIA",5,"CAREPA",5147,"  387",49659,40,"Región Eje Cafetero "
"ANTIOQUIA",5,"EL CARMEN DE VIBORAL",5148,"  424",61122,38,"Región Eje Cafetero "
"ANTIOQUIA",5,"CAROLINA",5150,"  150",3954,51,"Región Eje Cafetero "
"ANTIOQUIA",5,"CAUCASIA",5154," 1429",93044,45,"Región Eje Cafetero "
"ANTIOQUIA",5,"CHIGORODÓ",5172,"  722",58684,43,"Región Eje Cafetero "
"ANTIOQUIA",5,"CISNEROS",5190,"   47",9844,34,"Región Eje Cafetero "
"ANTIOQUIA",5,"COCORNÁ",5197,"  242",15042,41,"Región Eje Cafetero "
"ANTIOQUIA",5,"CONCEPCIÓN",5206,"  202",4760,49,"Región Eje Cafetero "
"ANTIOQUIA",5,"CONCORDIA",5209,"  248",21504,39,"Región Eje Cafetero "
"ANTIOQUIA",5,"COPACABANA",5212,"   68",80000,20,"Región Eje Cafetero "
"ANTIOQUIA",5,"DABEIBA",5234," 1957",23255,57,"Región Eje Cafetero "
"ANTIOQUIA",5,"DON MATÍAS",5237,"  203",19332,39,"Región Eje Cafetero "
"ANTIOQUIA",5,"EBÉJICO",5240,"  238",12108,42,"Región Eje Cafetero "
"ANTIOQUIA",5,"EL BAGRE",5250," 1560",52925,51,"Región Eje Cafetero "
"ANTIOQUIA",5,"ENTRERRIOS",5264,"  214",11465,46,"Región Eje Cafetero "
"ANTIOQUIA",5,"ENVIGADO",5266,"   78",236114,8,"Región Eje Cafetero "
